type,value,start_node,end_node
R,66,0,1
C,94,2,3
V,82,3,4
R,53,4,5
I,83,5,6
V,51,6,7
I,56,7,8
R,43,8,9
R,80,9,10
C,14,10,11
V,43,11,12
R,98,12,13
C,19,13,14
R,70,14,15
R,56,15,16
I,84,16,17
R,54,17,18
R,31,18,19
V,57,19,20
I,52,20,21
C,84,21,22
C,29,22,23
R,19,23,24
I,50,24,25
R,47,25,26
I,33,26,27
I,24,27,0
C,3,9,28
I,63,29,30
C,83,30,31
V,22,31,32
V,23,32,33
V,37,33,34
V,82,34,35
C,34,35,36
I,16,36,37
V,58,37,38
I,63,38,39
R,44,39,40
R,1,40,41
R,84,41,42
V,39,42,43
R,74,43,44
V,29,44,45
R,54,45,46
C,67,46,47
C,9,47,48
C,22,48,49
R,16,49,50
C,47,50,51
V,92,51,52
C,69,52,53
I,80,53,25
I,92,45,54
R,70,55,56
R,60,56,57
C,46,57,58
V,52,58,59
V,52,59,60
C,19,60,61
C,6,61,62
V,99,62,63
R,86,63,42
V,64,7,1
R,77,5,29
V,54,16,46
R,85,12,53
R,31,44,23
I,46,13,14
R,36,17,15
V,45,28,53
I,72,5,32
V,81,44,62
R,9,3,46
I,22,49,34
C,41,52,50
C,27,18,1
V,13,63,45
I,87,35,49
R,28,42,49
V,3,58,63
C,62,50,3
I,45,11,9
I,38,52,25
R,26,19,40
V,36,4,20
C,28,0,29
C,3,19,31
C,89,18,6
I,21,37,49
V,32,62,13
V,37,42,27
R,89,44,16
I,5,7,17
V,50,16,32
R,43,33,37
I,25,1,27
I,21,57,8
V,50,28,34
C,65,43,47
I,81,9,56
R,50,43,6
I,82,1,35
C,35,31,33
C,86,51,63
R,33,3,13
V,79,3,57
R,31,59,16
R,5,26,17
R,46,3,39
R,4,10,1
C,41,60,37
V,86,14,29
C,40,38,8
C,28,27,13
V,68,30,15
R,59,42,29
V,94,37,48
R,75,25,63
R,53,28,56
V,27,33,40
R,25,22,33
R,1,1,20
R,70,50,1
C,15,44,37
V,11,45,10
C,70,33,0
V,65,38,55
C,57,40,19
R,49,22,33
V,13,16,13
I,60,58,15
V,94,25,47
C,83,0,35
C,83,18,41
C,8,33,42
C,63,2,32
C,22,62,51
R,61,32,59
R,72,11,2
V,84,21,0
V,68,62,30
C,59,40,26
C,94,35,48
C,42,17,62
R,94,11,45
R,61,13,35
I,74,34,62
R,68,4,54
I,47,6,49
I,38,10,39
C,66,60,6
V,49,10,16
I,6,49,17
R,60,14,22
C,56,46,17
C,57,48,18
R,1,59,43
C,23,52,31
C,29,46,56
V,67,8,46
R,81,20,33
C,73,49,44
C,39,4,26
R,65,53,21
R,43,2,41
I,46,46,34
I,16,49,13
V,98,63,39
C,33,20,6
R,56,15,11
V,54,54,7
V,47,26,31
V,10,37,60
R,56,13,33
I,85,14,43
I,8,35,11
C,99,15,49
I,87,41,16
C,73,46,48
R,87,60,26
I,11,38,9
C,5,39,51
R,66,42,49
V,33,0,60
I,70,5,46
I,80,9,35
I,89,9,49
