type,value,start_node,end_node
I,33,0,1
C,99,2,3
V,33,3,4
R,52,4,5
I,31,5,6
V,13,6,7
V,91,7,8
C,37,8,9
V,87,9,10
R,36,10,11
V,21,11,12
C,20,12,13
C,84,13,14
I,46,14,15
I,78,15,16
C,68,16,17
R,88,17,18
C,72,18,19
I,67,19,20
C,36,20,21
C,53,21,22
C,68,22,23
V,38,23,24
C,73,24,25
I,85,25,26
I,8,26,27
V,87,27,28
V,37,28,29
C,57,29,30
R,93,30,31
I,16,31,32
I,10,32,33
R,6,33,34
C,19,34,35
C,4,35,36
V,46,36,37
I,1,37,38
R,65,38,39
I,82,39,40
R,97,40,41
R,64,41,42
I,32,42,43
I,40,43,44
I,52,44,45
V,76,45,46
V,90,46,47
C,6,47,48
I,23,48,49
I,87,49,50
V,63,50,51
C,92,51,52
I,6,52,53
V,81,53,54
R,89,54,55
I,1,55,56
I,43,56,57
I,34,57,58
I,77,58,59
R,78,59,60
C,43,60,61
C,3,61,62
I,67,62,63
V,13,63,64
I,2,64,65
V,8,65,66
R,92,66,67
V,21,67,68
C,25,68,69
C,90,69,70
V,82,70,71
R,17,71,72
C,46,72,73
V,94,73,74
I,79,74,75
V,37,75,76
I,42,76,77
C,77,77,78
C,16,78,79
C,8,79,80
V,96,80,81
C,12,81,82
C,24,82,83
I,19,83,84
R,65,84,85
I,73,85,86
C,50,86,87
V,26,87,88
V,35,88,89
I,20,89,90
V,35,90,91
V,89,91,92
I,26,92,93
C,71,93,94
C,51,94,95
V,79,95,96
I,88,96,97
R,58,97,98
I,46,98,99
R,47,99,100
C,72,100,101
I,91,101,102
R,66,102,103
V,64,103,104
I,19,104,105
I,66,105,106
C,80,106,107
I,75,107,108
R,61,108,109
V,71,109,110
R,37,110,111
V,61,111,112
C,70,112,113
C,98,113,114
V,28,114,115
I,40,115,116
I,78,116,117
R,90,117,118
R,98,118,119
C,26,119,120
I,47,120,121
R,85,121,122
R,83,122,123
V,10,123,124
C,50,124,125
C,34,125,126
V,97,126,127
C,51,127,128
R,34,128,129
I,96,129,130
C,51,130,131
R,81,131,132
I,96,132,133
C,24,133,134
V,44,134,135
R,74,135,136
I,21,136,137
R,74,137,138
V,72,138,139
I,81,139,140
R,22,140,141
I,97,141,142
C,67,142,143
C,60,143,144
C,88,144,145
R,31,145,146
I,26,146,147
V,88,147,148
V,59,148,149
I,100,149,150
I,21,150,151
V,74,151,152
R,30,152,153
I,22,153,154
I,87,154,155
C,91,155,156
I,41,156,157
V,82,157,158
V,76,158,159
R,62,159,160
C,98,160,161
I,14,161,162
V,43,162,163
I,77,163,164
I,78,164,165
C,40,165,166
I,90,166,167
I,22,167,168
V,81,168,169
R,72,169,170
V,14,170,171
I,34,171,172
R,56,172,173
R,31,173,174
I,77,174,175
C,32,175,176
V,78,176,177
I,50,177,178
V,69,178,179
R,60,179,180
C,62,180,181
C,48,181,182
R,80,182,183
C,61,183,184
C,36,184,185
I,40,185,186
V,82,186,187
C,36,187,188
I,99,188,189
C,15,189,190
V,58,190,0
C,37,178,191
C,49,192,193
V,72,193,194
C,25,194,195
I,2,195,196
V,66,196,197
I,25,197,198
I,97,198,199
C,60,199,200
C,52,200,201
I,9,201,202
I,19,202,203
I,46,203,204
C,88,204,205
R,7,205,206
V,34,206,207
R,14,207,208
R,8,208,209
C,11,209,210
I,67,210,211
R,97,211,212
I,28,212,213
V,36,213,214
I,63,214,215
I,40,215,216
R,25,216,217
R,18,217,218
R,30,218,219
V,78,219,220
V,54,220,221
C,80,221,222
R,2,222,223
I,33,223,224
R,15,224,225
I,65,225,226
V,13,226,227
V,31,227,228
R,7,228,229
V,22,229,230
R,91,230,231
V,27,231,232
I,44,232,233
C,88,233,234
V,86,234,235
I,27,235,236
C,83,236,237
R,35,237,238
I,29,238,239
C,10,239,240
R,13,240,241
V,94,241,242
I,30,242,243
R,94,243,244
C,54,244,245
I,57,245,246
C,37,246,247
R,6,247,248
C,90,248,249
C,12,249,250
R,98,250,251
I,71,251,252
I,9,252,253
C,40,253,254
V,31,254,255
I,59,255,256
I,31,256,257
C,36,257,258
C,83,258,259
V,22,259,260
V,60,260,261
I,83,261,262
V,80,262,263
V,52,263,264
V,68,264,265
R,13,265,266
V,75,266,267
V,32,267,268
C,95,268,269
R,76,269,270
R,53,270,271
R,31,271,272
V,29,272,273
C,91,273,274
I,96,274,275
C,71,275,276
R,95,276,277
C,49,277,278
R,61,278,279
V,81,279,280
C,77,280,281
I,100,281,282
I,62,282,283
R,79,283,284
V,12,284,285
V,18,285,286
C,54,286,287
R,72,287,288
R,50,288,289
V,38,289,290
C,35,290,291
C,1,291,292
R,86,292,293
I,37,293,294
I,59,294,295
V,35,295,296
I,21,296,297
I,5,297,298
R,47,298,299
C,50,299,300
R,18,300,301
V,57,301,302
I,17,302,303
R,33,303,304
C,40,304,53
I,33,83,305
C,77,306,307
V,4,307,308
C,88,308,309
I,52,309,310
C,86,310,311
R,96,311,312
I,18,312,313
C,3,313,314
V,8,314,315
V,54,315,316
R,13,316,317
C,65,317,318
R,67,318,319
I,63,319,320
C,73,320,321
R,39,321,322
R,34,322,323
C,32,323,324
I,54,324,325
C,67,325,326
V,30,326,327
R,17,327,328
C,42,328,329
V,28,329,330
C,75,330,331
