type,value,start_node,end_node
V,36,0,1
R,73,2,3
V,48,3,4
R,58,4,5
I,75,5,6
V,99,6,7
I,20,7,8
R,73,8,9
V,13,9,10
R,68,10,11
C,48,11,12
R,81,12,13
V,29,13,14
C,23,14,15
R,9,15,16
I,18,16,17
I,85,17,18
V,31,18,19
V,52,19,20
I,96,20,21
V,82,21,22
R,73,22,23
C,79,23,24
I,49,24,25
V,67,25,26
R,37,26,27
V,72,27,28
V,58,28,29
C,45,29,30
C,60,30,31
I,88,31,32
C,6,32,33
V,52,33,34
C,20,34,35
C,85,35,36
C,72,36,37
I,97,37,38
V,8,38,39
C,72,39,40
C,45,40,41
I,23,41,42
R,83,42,43
V,47,43,44
V,85,44,45
I,39,45,46
I,14,46,47
C,15,47,48
C,54,48,49
V,36,49,50
C,30,50,51
R,52,51,52
V,74,52,53
V,70,53,54
R,62,54,55
V,1,55,56
C,2,56,57
I,84,57,58
C,75,58,59
R,94,59,60
V,37,60,61
V,68,61,62
C,75,62,63
I,84,63,64
C,94,64,65
V,71,65,66
V,43,66,67
V,60,67,0
R,41,26,68
V,50,69,70
C,21,70,71
C,63,71,72
C,39,72,73
C,43,73,74
I,52,74,75
C,57,75,76
I,88,76,77
I,29,77,78
R,21,78,79
V,61,79,80
V,98,80,81
V,78,81,82
R,10,82,83
R,58,83,84
R,30,84,85
R,57,85,86
I,58,86,87
V,60,87,88
R,66,88,89
V,92,89,90
C,49,90,91
R,20,91,92
V,51,92,93
C,10,93,94
I,22,94,95
C,24,95,96
C,4,96,97
I,57,97,98
C,56,98,99
R,86,99,100
I,13,100,101
C,13,101,102
V,58,102,103
R,84,103,104
I,62,104,105
R,65,105,106
I,64,106,107
C,68,107,108
I,85,108,109
R,19,109,110
R,98,110,111
R,50,111,112
V,30,112,113
I,98,113,114
C,48,114,115
V,53,115,116
R,92,116,117
C,8,117,118
I,95,118,119
I,31,119,120
R,66,120,121
I,74,121,122
I,18,122,123
I,89,123,124
R,13,124,125
V,57,125,126
R,42,126,127
R,81,127,33
C,63,89,128
I,27,129,130
R,88,130,131
R,79,131,132
V,35,132,133
C,2,133,134
C,76,134,135
R,41,135,136
R,55,136,137
V,39,137,138
R,100,138,139
V,12,139,140
C,67,140,141
V,13,141,142
C,57,142,143
I,42,143,144
R,63,144,145
V,42,145,146
I,61,146,147
I,1,147,148
C,61,148,149
R,80,149,150
C,12,150,151
C,68,151,152
I,35,152,153
R,52,153,154
V,36,154,155
V,43,155,156
C,99,156,157
V,94,157,158
V,99,158,159
R,66,159,160
C,71,160,161
C,49,161,162
V,4,162,163
R,17,163,164
I,40,164,165
V,78,165,166
I,44,166,167
R,53,167,168
V,23,168,169
I,63,169,170
C,38,170,171
R,31,171,172
I,63,172,173
V,90,173,174
V,87,174,175
R,71,175,176
C,69,176,177
I,95,177,178
R,54,178,179
C,56,179,180
I,2,180,52
C,78,46,31
C,12,178,68
V,59,83,3
R,3,178,150
I,2,73,128
R,98,10,18
I,93,158,149
I,22,122,72
R,26,20,1
V,56,101,178
R,12,71,35
C,55,2,152
V,19,15,132
R,40,58,26
R,87,144,56
R,84,30,164
R,76,45,135
I,44,100,6
I,57,100,161
R,19,4,145
R,97,103,178
C,55,119,174
V,72,146,43
R,79,35,56
C,79,157,87
V,83,5,172
C,98,120,129
I,28,180,128
C,85,29,69
V,54,92,141
V,14,52,46
I,11,137,29
V,17,152,138
C,100,57,26
C,94,0,139
I,17,32,31
C,8,48,60
R,48,174,15
I,94,123,71
R,5,63,107
I,97,16,32
C,17,37,136
R,9,36,30
I,64,13,120
I,48,74,19
V,82,12,3
C,41,109,102
I,70,7,48
C,97,43,97
C,57,172,60
I,61,134,14
I,35,153,66
I,44,152,16
R,38,145,117
V,20,51,120
I,81,19,155
V,71,139,161
R,11,166,90
R,74,136,114
V,28,50,3
C,32,24,0
C,97,8,114
I,26,176,74
R,15,179,38
I,55,62,25
V,49,2,54
I,62,131,11
V,93,125,106
V,35,108,121
I,2,82,61
I,63,92,86
V,6,155,43
C,97,45,134
R,75,180,127
R,92,169,112
C,42,77,5
V,54,132,143
C,65,6,99
R,69,152,30
I,59,145,20
C,16,100,19
R,52,46,7
R,99,177,15
R,20,58,129
R,36,89,103
V,82,28,166
V,46,83,2
I,18,168,71
R,45,172,55
I,36,48,111
V,1,6,114
R,19,61,54
V,49,8,99
V,15,71,81
R,28,14,41
R,21,17,64
I,40,3,18
C,21,96,128
C,19,89,36
R,24,168,115
I,4,128,37
V,91,169,15
C,44,58,60
I,56,55,81
R,24,176,35
V,57,76,94
V,10,76,131
R,53,177,29
I,82,173,119
V,56,51,152
V,16,96,121
R,32,137,57
R,58,38,84
V,21,103,109
I,53,128,174
C,21,82,5
R,9,58,79
I,51,120,7
I,15,110,90
I,44,140,105
R,98,161,17
R,53,5,42
V,56,93,34
I,100,104,78
I,85,73,153
I,16,142,173
V,15,3,169
V,92,24,168
I,17,29,27
V,88,54,18
I,55,1,77
V,89,69,175
I,29,177,3
R,55,156,48
C,13,38,165
V,48,80,180
C,96,70,95
R,34,26,22
C,80,144,167
V,49,12,135
R,17,74,168
C,47,113,17
C,24,177,78
C,56,131,146
R,38,31,142
R,6,38,138
C,93,52,6
V,80,172,22
I,95,103,112
C,69,26,138
R,61,5,82
C,38,1,17
C,86,58,26
V,87,156,87
V,42,161,96
I,92,73,22
R,68,133,165
V,60,22,71
V,20,179,37
I,19,3,26
R,40,54,28
R,62,52,32
V,52,38,157
R,5,165,48
C,8,4,133
V,35,126,90
V,81,107,3
C,66,75,105
I,82,66,5
V,7,46,26
V,19,32,169
C,8,129,92
I,84,143,52
V,3,165,140
I,19,55,15
V,28,82,153
C,57,114,132
V,40,174,20
I,81,60,45
I,58,76,114
V,90,153,110
I,83,44,75
R,84,64,126
V,86,76,60
V,27,4,16
C,81,5,40
C,41,98,134
V,53,95,49
C,28,11,39
I,48,61,167
C,24,106,139
V,59,7,64
C,77,147,149
V,83,91,103
R,45,22,100
C,58,173,91
I,2,171,26
R,48,28,54
I,83,128,81
R,79,162,54
R,69,157,154
C,89,161,24
C,56,86,2
C,5,149,176
C,85,159,138
V,19,34,88
V,33,94,89
C,60,18,101
C,22,62,174
V,35,80,36
I,89,149,33
C,35,155,56
C,92,125,83
C,31,153,38
I,60,174,71
R,3,79,146
R,63,109,96
V,15,117,6
V,7,114,155
V,42,52,180
I,50,157,111
C,7,98,166
C,57,43,134
V,15,55,73
V,96,162,14
C,80,153,0
V,51,29,176
C,80,60,2
V,83,77,62
V,4,77,143
I,19,62,105
C,64,74,60
I,17,47,111
R,30,107,93
I,33,81,154
I,29,120,152
C,67,155,82
R,56,102,14
I,49,44,114
V,58,55,94
V,97,166,130
C,93,78,114
V,86,67,120
I,49,76,109
R,99,73,7
I,63,154,20
I,54,36,170
V,53,0,123
I,85,55,174
C,80,76,21
I,17,85,145
V,13,97,79
V,74,144,34
V,6,51,146
V,19,138,86
V,60,177,59
C,55,139,180
C,13,15,60
V,37,75,49
C,15,111,140
V,62,154,74
V,33,59,103
R,5,93,102
C,37,6,127
C,52,141,149
R,94,67,89
C,62,79,65
I,47,65,57
I,72,90,156
I,54,54,9
I,38,176,93
R,54,105,47
C,80,6,117
R,8,99,66
I,5,149,99
C,75,6,123
V,41,60,10
C,77,153,136
V,69,72,150
V,54,175,170
C,17,109,16
C,95,133,71
I,32,78,56
V,76,1,173
V,6,92,61
R,35,73,153
R,32,77,44
R,23,153,130
R,43,59,164
C,3,24,121
R,37,165,154
C,40,2,67
V,2,38,41
V,27,35,75
C,1,94,166
V,93,170,113
C,42,22,44
C,78,125,113
R,56,58,61
R,80,108,89
C,19,0,69
C,3,59,81
C,27,93,166
V,69,8,23
V,99,96,98
V,28,79,177
C,32,8,1
I,38,127,161
I,35,18,148
R,89,153,46
R,4,154,14
C,35,147,149
R,88,168,169
I,28,87,3
C,12,102,145
R,65,61,48
C,49,141,109
R,48,83,143
C,50,155,130
C,80,131,99
R,98,53,178
R,51,5,24
V,80,170,106
I,31,117,57
V,56,81,131
C,56,0,39
C,98,20,71
C,21,73,125
R,47,71,174
V,56,47,72
R,98,56,27
C,42,44,129
I,32,49,13
V,59,51,143
I,99,120,175
I,62,48,144
I,54,107,150
R,6,122,150
V,60,95,16
I,73,84,44
R,76,3,179
V,2,15,146
C,21,29,39
R,92,161,83
R,34,158,58
R,19,98,78
V,63,124,97
C,35,113,64
V,3,130,63
C,71,161,153
I,79,158,69
C,14,88,11
R,90,65,172
R,93,128,74
I,95,51,119
R,20,77,126
I,78,26,38
I,5,140,14
C,84,171,105
I,72,34,153
I,7,180,24
C,60,143,113
I,99,97,141
R,33,54,136
I,16,26,112
C,45,89,165
I,27,53,152
R,51,127,164
R,53,166,169
R,47,140,67
C,64,151,87
R,91,44,53
V,91,146,121
I,37,102,114
I,26,121,34
C,23,142,29
R,87,69,130
I,59,54,26
V,80,22,159
I,18,57,98
R,49,84,141
V,36,25,152
R,71,134,2
V,51,160,135
R,42,30,94
R,4,41,19
V,90,12,139
V,14,22,153
C,87,98,23
R,34,35,21
R,9,162,128
C,38,40,48
C,9,39,33
I,86,124,49
C,44,115,87
I,96,174,48
I,53,104,11
I,58,48,152
I,54,42,59
V,87,150,49
V,29,53,39
I,28,153,15
I,86,160,130
V,45,149,142
V,38,103,144
I,98,179,129
I,37,128,127
V,73,141,162
C,46,23,146
C,9,9,142
R,65,109,0
R,38,105,115
V,24,143,171
C,90,50,26
I,66,131,122
V,75,88,47
R,91,2,124
I,23,2,131
V,19,93,143
C,85,110,106
I,77,15,78
I,41,146,12
I,7,76,21
I,24,153,24
I,99,93,81
R,21,124,137
V,56,33,76
V,2,92,139
V,26,66,68
I,63,39,68
C,21,106,108
R,16,76,94
R,86,103,112
V,79,59,116
R,87,39,55
C,26,31,150
C,52,151,26
V,7,90,78
C,17,8,99
V,83,51,23
V,61,67,84
R,69,95,12
I,49,47,80
C,33,171,55
R,11,81,149
R,82,47,109
V,7,61,97
C,74,168,175
R,16,11,144
I,100,129,136
I,1,54,21
R,54,5,12
C,8,99,121
R,24,141,42
C,54,105,24
R,41,122,156
R,18,46,131
I,73,76,131
R,41,9,32
V,70,118,176
V,79,65,165
I,33,25,56
C,24,134,65
I,43,17,62
R,54,95,60
V,49,144,25
R,50,179,138
R,75,66,23
R,68,10,113
C,42,108,110
I,2,20,133
I,60,167,94
R,79,96,99
V,76,28,167
V,54,24,111
V,1,104,154
R,72,120,73
C,22,82,127
C,54,90,18
C,32,33,122
R,16,43,65
I,85,56,61
C,73,158,53
V,26,86,130
C,25,26,108
