type,value,start_node,end_node
I,82,0,1
V,100,2,3
C,78,3,4
V,56,4,5
R,51,5,6
R,71,6,7
C,35,7,8
C,49,8,9
V,14,9,10
C,31,10,11
R,66,11,12
C,29,12,13
C,67,13,14
I,42,14,15
V,91,15,16
C,98,16,17
C,59,17,18
V,94,18,19
I,50,19,20
C,67,20,21
R,69,21,22
V,48,22,23
R,2,23,24
V,54,24,25
V,52,25,26
V,36,26,27
R,6,27,28
C,26,28,29
R,97,29,30
V,5,30,31
I,56,31,32
R,15,32,33
C,92,33,34
C,75,34,35
V,37,35,36
I,14,36,37
C,24,37,38
V,60,38,39
I,59,39,40
R,36,40,41
C,19,41,42
V,34,42,43
V,77,43,44
V,10,44,45
C,76,45,46
R,15,46,47
I,94,47,48
V,14,48,49
R,32,49,50
I,44,50,51
R,62,51,52
C,48,52,53
C,57,53,54
C,29,54,55
V,16,55,56
C,4,56,57
I,15,57,58
I,38,58,59
C,35,59,60
R,50,60,61
C,61,61,62
I,37,62,63
V,93,63,64
V,72,64,65
I,75,65,66
I,72,66,67
R,66,67,68
C,9,68,69
C,41,69,70
R,12,70,71
R,61,71,72
R,40,72,73
R,39,73,74
C,26,74,75
I,12,75,76
I,92,76,77
I,32,77,78
I,42,78,79
V,19,79,80
V,2,80,81
V,75,81,82
I,83,82,83
R,85,83,84
I,86,84,85
I,60,85,86
C,27,86,87
I,14,87,88
V,29,88,89
V,78,89,90
I,82,90,91
R,67,91,92
R,27,92,93
C,84,93,94
V,21,94,95
C,96,95,96
V,34,96,97
C,76,97,98
C,59,98,99
I,58,99,100
V,94,100,101
I,49,101,102
C,29,102,103
I,37,103,104
R,9,104,105
V,91,105,106
R,51,106,107
V,2,107,108
I,33,108,109
I,9,109,110
C,72,110,111
V,46,111,112
R,7,112,113
I,46,113,114
I,48,114,115
V,26,115,116
R,26,116,117
V,78,117,118
R,88,118,119
C,96,119,120
V,75,120,121
C,79,121,122
I,11,122,123
I,82,123,124
R,5,124,125
I,52,125,126
C,52,126,127
V,17,127,128
R,81,128,129
C,12,129,130
C,46,130,131
R,33,131,132
I,64,132,133
I,31,133,134
R,99,134,135
C,27,135,136
C,27,136,137
I,7,137,138
I,82,138,139
V,79,139,140
C,78,140,141
I,67,141,142
C,3,142,143
R,34,143,144
I,78,144,145
C,53,145,146
I,29,146,147
I,72,147,148
V,8,148,149
R,48,149,150
I,95,150,151
C,35,151,152
I,69,152,153
C,38,153,154
V,52,154,155
C,30,155,156
R,27,156,157
I,13,157,158
R,38,158,159
I,89,159,160
C,49,160,161
I,12,161,162
R,52,162,163
C,48,163,164
R,55,164,165
C,50,165,166
I,22,166,167
C,10,167,168
R,36,168,169
I,56,169,170
R,44,170,171
I,48,171,172
V,14,172,173
V,34,173,174
I,48,174,175
C,1,175,176
I,78,176,177
I,39,177,178
V,22,178,179
R,44,179,180
C,43,180,181
C,28,181,182
I,11,182,183
I,7,183,184
I,64,184,185
C,88,185,186
I,18,186,187
C,53,187,188
C,59,188,189
C,70,189,190
C,23,190,191
C,81,191,192
V,78,192,193
R,7,193,194
C,66,194,195
R,51,195,196
R,39,196,197
R,71,197,198
C,80,198,199
V,10,199,200
R,31,200,201
R,82,201,202
V,18,202,203
V,49,203,204
V,49,204,205
V,59,205,206
I,41,206,207
R,39,207,208
C,87,208,209
R,61,209,210
C,50,210,211
I,70,211,212
I,69,212,213
C,10,213,214
I,67,214,215
C,63,215,216
I,80,216,217
I,22,217,218
C,64,218,219
V,58,219,220
R,14,220,221
C,24,221,222
V,27,222,223
V,3,223,224
R,3,224,225
I,42,225,226
I,83,226,227
I,57,227,228
V,35,228,229
I,4,229,230
V,79,230,231
C,28,231,232
C,82,232,233
I,42,233,234
C,26,234,235
C,92,235,236
I,99,236,237
R,15,237,238
C,80,238,239
V,30,239,240
V,95,240,241
C,85,241,242
I,97,242,243
R,19,243,244
C,24,244,245
R,14,245,246
R,89,246,247
V,49,247,248
I,46,248,249
V,37,249,250
C,37,250,251
C,19,251,252
V,29,252,253
R,71,253,254
V,71,254,255
C,83,255,256
C,16,256,257
C,65,257,258
V,49,258,259
R,77,259,260
R,11,260,261
R,40,261,262
C,68,262,263
C,2,263,264
V,8,264,265
I,15,265,266
V,41,266,267
C,63,267,268
V,34,268,269
C,97,269,270
I,46,270,271
R,8,271,272
C,50,272,273
V,87,273,274
V,25,274,275
R,66,275,276
R,15,276,277
I,25,277,278
I,55,278,279
I,42,279,280
V,99,280,281
R,95,281,282
R,66,282,283
I,22,283,284
R,75,284,285
C,31,285,286
R,5,286,287
V,89,287,288
I,92,288,289
R,79,289,290
C,44,290,291
R,14,291,292
C,80,292,293
V,23,293,294
C,88,294,295
I,88,295,296
C,64,296,297
C,74,297,298
V,33,298,299
I,26,299,300
R,84,300,301
C,61,301,302
C,75,302,303
R,31,303,304
I,56,304,305
C,8,305,306
C,11,306,307
I,76,307,308
V,24,308,309
C,26,309,310
C,43,310,311
I,28,311,312
C,53,312,313
R,50,313,314
C,76,314,315
V,9,315,316
V,53,316,317
I,7,317,318
C,77,318,319
C,84,319,320
C,78,320,321
V,83,321,322
I,91,322,323
R,89,323,324
V,32,324,325
V,79,325,326
C,83,326,327
I,54,327,328
R,61,328,329
R,77,329,330
C,4,330,331
V,67,331,332
R,97,332,333
R,20,333,334
R,51,334,335
I,42,335,336
I,56,336,337
C,71,337,338
C,89,338,339
R,91,339,340
R,85,340,341
I,18,341,342
I,25,342,343
V,9,343,344
C,47,344,345
I,21,345,346
C,87,346,347
C,41,347,348
V,20,348,349
V,30,349,350
I,30,350,351
C,94,351,352
V,81,352,353
V,32,353,354
C,37,354,355
C,50,355,356
R,31,356,357
I,8,357,358
I,11,358,359
V,94,359,360
R,60,360,361
C,63,361,362
I,32,362,363
C,24,363,364
R,52,364,365
I,62,365,366
V,71,366,367
I,11,367,368
C,39,368,369
I,60,369,370
C,39,370,371
V,54,371,372
C,81,372,373
V,86,373,374
I,83,374,375
I,66,375,376
V,34,376,377
I,100,377,378
I,98,378,379
C,55,379,380
I,45,380,381
R,100,381,382
I,6,382,383
C,2,383,384
R,95,384,385
V,47,385,386
I,23,386,387
R,89,387,388
V,3,388,389
C,38,389,390
V,51,390,391
C,40,391,392
C,68,392,393
C,50,393,394
V,66,394,395
C,74,395,396
C,6,396,397
V,1,397,398
C,76,398,399
I,73,399,400
C,22,400,401
R,62,401,402
C,49,402,403
I,55,403,404
V,71,404,405
C,91,405,406
C,93,406,407
R,96,407,408
C,60,408,409
I,43,409,410
R,32,410,411
I,62,411,412
I,2,412,413
V,86,413,414
C,99,414,415
C,28,415,416
I,46,416,417
R,9,417,418
I,4,418,419
C,76,419,420
R,73,420,421
V,83,421,422
I,100,422,423
V,65,423,424
R,90,424,425
R,67,425,426
V,72,426,427
C,91,427,428
C,70,428,429
V,13,429,430
V,67,430,431
R,62,431,432
C,58,432,433
R,32,433,434
R,2,434,435
V,46,435,436
C,29,436,437
C,4,437,438
C,79,438,439
I,48,439,440
I,54,440,441
R,79,441,442
C,3,442,443
R,90,443,444
R,76,444,445
R,38,445,446
V,98,446,447
R,18,447,448
C,75,448,449
C,9,449,450
R,87,450,451
C,78,451,452
C,26,452,453
C,77,453,454
I,41,454,455
R,100,455,456
C,71,456,457
V,67,457,458
I,82,458,459
C,54,459,460
C,50,460,461
I,78,461,462
V,28,462,463
I,49,463,464
I,45,464,465
V,23,465,466
V,66,466,467
R,72,467,468
V,18,468,469
R,57,469,470
V,90,470,471
C,27,471,472
C,63,472,473
V,91,473,474
R,25,474,475
V,69,475,476
I,6,476,477
V,44,477,478
R,78,478,479
C,14,479,480
V,75,480,481
C,47,481,482
I,19,482,483
C,79,483,484
R,27,484,485
I,80,485,486
R,24,486,487
C,51,487,488
V,30,488,489
V,84,489,490
I,100,490,491
R,70,491,492
I,73,492,493
I,53,493,494
I,47,494,495
I,27,495,496
R,92,496,497
R,67,497,498
R,10,498,499
C,18,499,500
C,35,500,501
V,57,501,502
V,1,502,503
V,14,503,504
V,20,504,505
V,70,505,506
R,12,506,507
C,71,507,508
V,78,508,509
I,74,509,510
C,18,510,511
R,39,511,512
I,39,512,513
R,63,513,514
V,57,514,515
V,66,515,516
C,35,516,517
I,77,517,518
R,4,518,519
C,4,519,520
I,17,520,521
V,79,521,522
R,14,522,523
C,43,523,524
