type,value,start_node,end_node
C,35,0,1
V,7,2,3
R,81,3,4
R,57,4,5
C,23,5,6
C,33,6,7
R,57,7,8
I,74,8,9
I,46,9,10
V,66,10,11
C,100,11,12
R,37,12,13
R,49,13,14
V,99,14,15
I,47,15,16
V,70,16,17
I,25,17,18
I,94,18,19
V,96,19,20
C,33,20,21
I,83,21,22
V,78,22,23
R,85,23,24
V,70,24,25
C,60,25,26
V,33,26,27
V,52,27,28
R,78,28,29
V,21,29,30
V,84,30,31
V,4,31,32
C,19,32,33
C,78,33,34
C,8,34,35
R,79,35,36
V,86,36,37
I,43,37,38
I,65,38,39
C,10,39,40
R,48,40,41
I,33,41,42
I,1,42,43
C,40,43,44
C,16,44,45
R,36,45,46
I,60,46,47
R,36,47,48
I,55,48,49
R,90,49,50
I,5,50,51
R,16,51,52
C,56,52,53
V,29,53,54
I,65,54,55
V,2,55,56
I,43,56,57
V,37,57,58
R,75,58,59
C,44,59,60
R,22,60,61
V,22,61,62
I,77,62,63
R,32,63,64
C,44,64,65
R,39,65,66
R,45,66,67
V,9,67,68
I,100,68,69
I,18,69,70
C,45,70,71
I,66,71,72
I,41,72,73
V,78,73,74
C,60,74,75
V,44,75,76
V,21,76,77
C,41,77,78
R,72,78,79
C,57,79,80
I,43,80,81
I,6,81,82
R,21,82,83
R,9,83,84
C,79,84,85
R,97,85,86
C,11,86,87
V,77,87,88
V,8,88,89
I,61,89,90
V,18,90,91
R,31,91,92
I,73,92,93
C,94,93,94
I,4,94,95
C,62,95,96
C,88,96,97
R,49,97,98
V,66,98,99
V,87,99,100
R,28,100,101
C,19,101,102
I,87,102,103
C,50,103,104
I,86,104,105
C,69,105,106
I,65,106,107
R,75,107,108
R,5,108,109
I,48,109,110
C,44,110,111
I,32,111,112
I,13,112,113
R,34,113,114
C,73,114,115
I,7,115,116
I,87,116,117
C,46,117,118
C,91,118,119
R,76,119,120
I,11,120,121
R,26,121,122
R,78,122,123
R,35,123,124
V,85,124,125
R,11,125,126
R,75,126,127
V,39,127,128
V,72,128,129
V,32,129,130
I,46,130,131
V,51,131,132
R,41,132,133
V,14,133,134
C,70,134,135
I,65,135,136
C,33,136,137
R,78,137,138
V,40,138,0
C,18,66,139
I,14,140,141
V,7,141,142
I,34,142,143
