type,value,start_node,end_node
I,40,0,1
V,21,2,3
R,87,3,4
R,-13,4,5
V,-87,5,6
C,93,6,7
I,97,7,8
R,52,8,9
C,-68,9,10
R,-71,10,11
I,76,11,12
R,-51,12,13
C,25,13,14
R,-78,14,15
V,81,15,16
V,-10,16,17
V,-15,17,18
V,38,18,19
I,60,19,20
I,1,20,21
I,96,21,22
C,97,22,23
I,95,23,24
R,8,24,25
V,-49,25,26
R,-4,26,27
R,-55,27,28
I,-15,28,29
R,-73,29,30
C,-97,30,31
C,-87,31,32
C,-27,32,33
R,27,33,34
C,21,34,35
R,-85,35,36
I,-54,36,37
V,14,37,38
V,65,38,39
I,65,39,40
V,-61,40,41
V,-34,41,42
I,-24,42,43
R,-15,43,44
V,42,44,45
I,44,45,46
I,58,46,47
C,-14,47,48
I,71,48,49
R,-99,49,50
V,39,50,51
R,-89,51,52
C,88,52,53
V,37,53,54
C,1,54,55
C,-97,55,56
V,-89,56,57
I,75,57,58
I,-6,58,59
V,68,59,60
I,51,60,61
C,41,61,62
I,29,62,63
R,60,63,64
R,48,64,65
V,85,65,66
V,13,66,67
V,99,67,68
V,-6,68,69
I,95,69,70
R,-80,70,71
R,-63,71,72
I,-80,72,73
C,82,73,74
V,76,74,75
C,-52,75,76
C,27,76,77
C,-4,77,78
V,-33,78,79
V,-27,79,80
I,56,80,81
I,59,81,82
I,31,82,83
R,2,83,84
I,11,84,85
C,69,85,86
V,50,86,87
R,-98,87,88
R,-68,88,89
I,-31,89,90
I,-92,90,91
V,-58,91,92
I,41,92,93
V,-90,93,94
C,3,94,95
C,-91,95,96
I,-53,96,97
I,-58,97,98
C,-41,98,99
C,-40,99,100
R,78,100,101
V,-77,101,102
C,-100,102,103
I,-7,103,0
C,-28,10,104
I,-91,105,106
I,42,106,107
I,21,107,108
C,-67,108,109
C,64,109,110
C,43,110,111
R,-27,111,112
I,12,112,113
I,76,113,114
I,-46,114,115
R,-6,115,116
C,68,116,117
R,46,117,118
V,-96,118,119
R,15,119,120
I,-9,120,121
I,-29,121,122
C,-18,122,123
R,-85,123,124
I,43,124,125
V,-81,125,126
V,4,126,127
V,2,127,128
R,19,128,129
R,-72,129,130
R,81,130,131
R,-44,131,132
I,-78,132,133
R,-65,133,134
I,4,134,135
R,95,135,136
I,-49,136,137
C,27,137,138
I,15,138,139
I,4,139,140
V,24,140,141
V,-19,141,142
V,-85,142,143
I,-22,143,144
R,87,144,145
R,30,145,146
C,-1,146,147
C,-81,147,148
C,-79,148,149
C,-35,149,150
I,48,150,151
R,-21,151,152
C,-100,152,153
V,78,153,154
R,62,154,155
R,9,155,156
V,-7,156,157
R,-92,157,158
V,59,158,159
V,-81,159,160
I,92,160,161
C,-62,161,162
R,-77,162,163
C,-1,163,164
C,-92,164,165
R,12,165,166
R,3,166,167
R,10,167,168
R,-61,168,169
I,-93,169,170
V,8,170,171
R,-38,171,172
V,29,172,173
V,-43,173,174
R,42,174,175
R,-74,175,176
I,22,176,177
I,10,177,178
R,-44,178,179
C,-62,179,180
I,-38,180,181
V,80,181,182
R,-97,182,183
R,-88,183,184
V,56,184,185
C,90,185,186
I,30,186,187
I,98,187,188
C,-59,188,189
C,4,189,190
R,-13,190,191
C,-94,191,192
R,37,192,193
V,58,193,194
V,-20,194,195
I,-72,195,196
R,-17,196,197
V,12,197,198
C,48,198,199
V,11,199,200
C,21,200,201
C,-99,201,202
C,-2,202,203
C,-26,203,204
R,46,204,205
C,-2,205,206
R,-60,206,207
R,29,207,208
C,-35,208,209
R,2,209,210
I,87,210,211
I,30,211,212
C,88,212,213
V,80,213,214
I,-1,214,215
I,29,215,216
I,93,216,217
V,100,217,218
V,-50,218,219
I,60,219,220
I,81,220,221
I,23,221,222
V,32,222,223
V,-91,223,224
I,-6,224,225
I,-28,225,226
I,-81,226,227
R,30,227,228
V,-49,228,229
C,44,229,230
C,-31,230,231
I,-39,231,232
R,-39,232,233
V,94,233,234
R,-28,234,235
I,-25,235,236
I,-19,236,237
C,17,237,238
C,91,238,239
R,-7,239,240
I,-83,240,241
V,66,241,242
V,17,242,243
V,-55,243,244
V,-68,244,245
I,73,245,246
C,19,246,247
R,47,247,248
I,75,248,249
R,-94,249,250
C,-34,250,251
V,-91,251,252
I,79,252,253
C,18,253,254
V,69,254,255
V,-52,255,99
I,32,135,245
R,9,137,87
V,1,230,123
V,60,16,157
I,30,66,98
V,1,182,145
V,69,148,58
C,81,53,33
I,-11,229,56
V,59,120,178
I,-25,217,125
I,-44,17,204
C,38,154,169
C,79,170,13
R,-68,203,38
V,-57,212,28
I,-62,10,5
I,66,250,151
C,-98,97,182
R,30,105,182
C,7,66,24
I,-27,82,213
V,90,230,148
V,18,37,31
R,-40,214,181
R,-73,185,166
R,69,4,0
I,33,250,30
I,48,251,127
C,5,244,168
I,-83,151,226
V,-43,25,73
I,-99,158,92
V,-91,184,74
R,52,179,143
V,-69,48,181
C,75,62,234
R,88,9,220
V,93,26,135
V,-2,209,155
C,39,220,213
V,-69,191,89
V,15,48,121
I,-63,136,112
C,-70,31,149
R,-38,29,132
I,43,241,171
R,-53,152,67
V,-38,253,89
V,91,63,34
V,-73,75,238
C,-97,230,91
C,21,183,53
R,13,75,143
R,39,167,211
C,-60,244,232
R,15,35,137
R,99,211,137
R,-69,6,23
R,63,1,109
I,-14,171,27
R,86,102,7
C,-41,85,127
V,86,45,79
I,35,209,73
V,-61,133,49
C,34,211,210
C,-79,148,170
I,71,253,48
R,56,18,36
R,-61,126,146
V,-71,103,93
C,9,156,100
C,-86,99,173
V,-5,72,54
R,20,118,242
V,-21,146,41
R,-95,160,66
R,-12,108,12
C,16,151,119
I,78,114,239
R,-4,145,2
C,-23,184,150
R,-6,109,29
V,-28,117,220
R,33,120,200
V,-28,231,194
C,5,36,98
R,56,23,247
V,-21,101,234
C,15,114,224
V,-40,161,59
I,-74,6,240
V,-12,65,172
V,-66,244,12
I,47,57,243
I,-56,208,243
C,-22,21,22
R,-30,172,201
R,42,206,97
V,-96,128,56
I,94,206,97
V,19,58,218
I,10,214,21
R,-58,20,218
C,90,30,124
R,48,42,242
R,-1,184,39
V,-11,53,83
I,59,141,240
I,-13,229,215
R,-100,53,4
I,-2,158,220
C,18,112,121
V,96,179,95
C,-39,193,35
V,61,185,67
R,56,49,191
I,-40,60,242
V,51,105,136
C,-11,190,53
V,74,230,243
I,-24,117,108
C,-38,83,85
V,71,109,44
R,43,9,108
R,-11,136,255
V,-73,171,119
R,9,34,217
V,76,202,209
R,59,57,154
C,-68,176,202
R,-12,191,57
R,-16,215,249
C,-84,48,116
V,29,172,13
R,42,18,230
V,36,53,34
C,36,189,209
V,-89,229,121
I,88,12,7
V,43,230,216
V,12,192,218
C,81,47,67
C,69,187,237
C,49,30,75
V,-58,166,231
V,-73,209,8
I,39,168,13
I,66,98,125
V,36,94,77
V,-22,28,126
V,-16,21,164
I,53,180,138
V,-60,98,78
I,37,0,188
V,58,11,76
C,-38,78,196
R,-92,76,100
C,-96,186,224
V,94,192,235
I,51,211,132
R,23,33,239
V,36,226,106
V,-45,171,6
V,56,53,13
R,-77,142,145
V,-65,160,238
I,-67,27,171
I,78,80,163
V,29,116,33
R,19,158,248
R,-35,104,216
I,-62,232,224
C,-77,15,236
R,-32,247,83
C,27,62,183
I,-31,250,99
V,32,136,114
C,-6,248,136
C,-82,205,124
C,59,231,118
V,15,241,147
C,-23,183,112
C,-79,192,83
I,-66,136,24
R,93,84,143
I,56,70,247
C,-87,50,113
R,26,153,178
R,82,197,85
I,-88,12,76
R,-42,193,111
R,-68,187,56
V,20,138,70
I,64,5,126
I,-72,249,204
V,82,42,75
R,3,58,209
C,98,84,153
I,-64,102,125
I,-76,139,12
V,25,227,207
I,48,87,143
V,-92,115,66
V,97,125,143
I,4,6,38
C,7,137,61
C,-87,3,5
I,38,79,156
I,-11,233,58
C,99,246,135
R,23,192,231
C,87,134,178
R,59,212,134
C,65,238,70
R,-48,60,6
I,-76,173,91
I,85,79,218
I,-13,18,113
V,96,151,77
I,-99,43,4
I,-98,254,198
C,61,173,45
V,61,0,248
I,-86,186,39
I,54,65,234
R,36,144,108
I,-67,253,60
I,88,10,205
C,10,227,96
I,54,82,46
I,12,151,198
R,79,87,197
C,-10,30,151
C,10,208,186
C,81,22,137
I,14,121,231
I,-96,225,255
I,99,197,167
V,-90,86,47
R,-35,57,124
V,68,81,242
I,41,235,45
I,62,222,164
R,-37,111,7
V,97,155,179
I,76,217,88
I,-37,251,242
I,4,140,99
I,84,134,203
I,-84,80,67
C,-9,100,251
C,91,51,75
