type,value,start_node,end_node
V,-51,0,1
C,5,2,3
R,-10,3,4
V,-92,4,5
I,31,5,6
R,-56,6,7
I,-38,7,8
C,29,8,9
R,96,9,10
I,78,10,11
I,1,11,12
C,-67,12,13
V,90,13,0
R,33,10,14
I,-56,15,16
V,53,16,17
R,-90,17,18
I,62,18,19
R,41,19,20
I,66,20,21
V,-61,21,5
I,84,17,22
R,44,23,24
R,-55,24,25
R,-67,25,26
R,6,26,27
I,35,27,6
I,99,26,28
I,3,29,30
C,80,30,31
R,-80,31,9
R,-25,6,3
I,-38,1,20
C,45,15,5
C,70,10,1
I,-94,24,0
V,-55,3,11
R,-49,26,17
V,-27,22,27
R,-8,13,26
I,27,26,23
R,-52,30,0
R,-54,13,27
V,61,6,30
C,-50,11,13
V,-97,28,20
C,-12,28,18
V,71,19,11
V,-30,0,30
I,-10,19,13
I,5,28,12
I,-68,23,7
R,94,14,1
V,11,2,7
R,45,31,21
V,67,6,5
C,-82,19,6
I,3,12,4
I,96,6,4
