type,value,start_node,end_node
C,97,0,1
R,79,2,3
R,53,3,4
I,54,4,5
V,58,5,6
I,54,6,7
I,71,7,8
V,50,8,0
I,44,1,9
R,29,10,11
I,81,11,12
R,66,12,13
V,77,13,14
V,27,14,7
C,95,5,15
V,41,16,17
I,60,17,18
V,54,18,19
V,93,19,20
C,61,20,21
I,18,21,22
R,11,22,23
V,58,23,24
R,19,24,25
V,71,25,26
C,27,26,27
R,21,27,5
I,98,3,28
I,53,29,30
C,76,30,31
C,52,31,6
R,11,3,1
I,67,26,20
R,26,11,5
R,14,27,9
I,62,11,31
V,59,13,1
I,97,8,16
I,16,5,21
R,38,13,10
V,78,29,25
V,71,4,21
I,61,4,28
I,13,23,10
C,27,11,20
I,1,17,20
I,34,0,4
V,78,24,16
C,37,20,31
I,13,19,16
I,89,31,29
I,89,26,27
R,50,16,30
I,55,4,7
V,36,21,27
V,61,30,8
R,15,4,2
I,33,8,12
V,51,28,13
R,83,25,23
I,50,2,8
V,26,19,25
I,28,26,1
I,28,17,22
I,35,8,31
I,31,17,22
R,25,27,25
R,7,5,21
R,83,6,9
C,78,7,29
V,28,9,1
R,40,2,7
C,15,27,6
C,13,18,6
V,46,22,28
V,10,18,31
C,14,22,4
I,33,19,3
V,53,18,10
V,36,14,7
C,4,20,23
C,47,22,3
R,73,17,14
C,46,23,31
R,27,7,13
C,83,18,30
I,5,4,3
R,73,23,16
V,72,7,3
R,44,31,0
I,20,16,6
C,20,12,28
V,37,0,13
V,40,20,12
V,95,11,6
V,33,8,14
C,62,11,16
V,91,10,11
C,33,16,7
V,82,20,4
I,38,7,21
C,67,3,2
C,85,4,7
V,52,27,15
I,2,28,21
C,49,25,22
I,42,0,8
C,20,2,15
I,88,10,9
C,6,3,4
V,80,20,24
I,14,8,15
V,22,25,30
R,70,27,21
I,66,13,22
V,39,22,13
V,4,25,2
R,25,15,23
I,34,21,13
I,4,8,22
C,90,30,0
C,14,23,3
I,7,18,2
I,4,20,1
R,99,16,2
I,34,27,6
V,87,25,16
C,34,18,20
C,96,16,28
V,79,24,20
R,59,4,28
R,39,15,13
I,99,17,23
V,3,24,15
C,77,29,18
R,56,9,1
I,62,8,13
R,63,22,15
C,96,7,10
R,21,4,21
R,88,0,20
V,37,18,28
V,40,2,10
V,76,9,10
C,6,15,22
R,13,25,28
V,43,4,5
R,82,13,10
I,18,20,29
C,46,27,15
C,31,22,13
V,31,7,16
V,46,27,4
I,76,6,5
V,97,28,3
V,28,26,1
I,45,21,16
I,99,23,16
C,5,5,12
I,4,30,16
I,17,25,4
I,75,31,7
R,34,30,10
V,31,25,6
I,84,17,19
V,7,0,30
C,29,8,1
I,3,17,31
R,9,9,27
I,38,10,27
I,48,9,12
V,13,12,25
I,15,18,8
I,45,0,21
I,22,19,23
I,52,29,1
V,46,28,7
R,82,3,20
R,29,15,16
I,46,21,17
I,68,16,23
V,73,10,18
C,5,4,20
R,66,26,21
R,38,26,1
C,54,11,24
R,93,15,2
V,42,16,25
C,20,7,8
C,49,24,31
V,82,3,22
C,54,12,24
R,22,12,23
I,50,13,27
I,62,3,17
C,1,5,8
I,72,24,8
R,4,24,22
C,91,26,6
C,40,5,1
V,87,14,18
I,3,15,10
V,53,23,13
V,75,8,11
I,89,17,18
C,53,28,31
C,71,10,30
C,11,9,20
I,31,9,28
C,66,14,2
V,95,13,0
C,86,28,30
V,17,8,3
R,78,26,14
R,79,30,0
R,56,4,22
V,43,20,31
I,100,20,1
R,29,17,20
V,72,17,23
V,80,26,3
R,26,1,29
C,13,22,20
I,97,31,19
V,24,23,13
V,71,30,1
V,60,5,28
I,2,14,18
R,90,7,13
I,66,0,5
V,49,18,2
R,17,26,3
R,48,3,5
V,9,31,30
V,31,30,5
V,14,26,1
R,66,5,9
I,27,28,22
I,43,12,13
R,16,14,24
R,19,5,24
V,5,25,29
V,47,5,10
I,14,9,5
I,100,13,23
R,80,17,12
I,58,7,13
C,75,15,29
V,29,28,17
R,27,10,2
R,45,26,21
V,81,9,18
C,92,20,7
V,83,5,25
C,74,20,5
I,85,30,29
V,67,0,31
R,68,29,10
I,14,20,0
V,50,18,20
V,83,8,2
I,83,7,31
V,5,20,31
R,52,16,0
I,34,10,12
R,44,31,18
R,74,13,28
V,13,7,0
I,29,9,15
I,29,0,6
I,89,24,31
R,80,17,23
I,53,29,22
I,54,16,27
R,52,26,22
V,83,30,5
C,28,16,12
I,87,20,30
V,47,12,13
C,29,22,30
R,12,10,3
V,94,0,24
C,68,4,7
V,11,7,1
V,89,29,21
C,50,26,23
R,71,28,19
C,64,18,13
C,87,13,3
V,97,22,25
V,46,1,23
R,45,13,3
I,17,11,12
V,20,17,0
C,68,11,20
I,58,1,6
C,56,6,1
V,3,5,7
R,93,29,12
R,79,29,18
C,60,0,7
V,48,8,11
R,91,18,17
I,45,26,24
I,84,21,6
R,89,29,12
V,67,7,3
C,83,27,20
V,82,27,17
V,57,4,29
R,47,10,31
I,95,2,18
R,16,16,5
C,50,26,17
R,68,30,4
