type,value,start_node,end_node
C,47,0,1
R,84,2,3
V,36,3,4
I,96,4,5
C,16,5,6
R,44,6,7
R,17,7,8
V,51,8,9
V,40,9,10
C,30,10,11
C,65,11,12
C,48,12,13
V,17,13,14
R,45,14,15
V,73,15,16
C,3,16,17
V,67,17,18
R,47,18,19
C,65,19,20
V,10,20,21
V,11,21,22
V,69,22,23
V,36,23,24
V,54,24,25
R,17,25,26
V,47,26,27
I,71,27,28
V,70,28,29
I,94,29,30
C,80,30,31
V,49,31,32
R,8,32,33
I,76,33,34
V,27,34,35
C,99,35,36
I,34,36,37
R,54,37,38
R,11,38,39
C,4,39,40
I,70,40,0
I,33,10,41
R,23,42,43
I,96,43,44
V,49,44,45
R,2,45,46
V,34,46,47
R,66,47,48
C,62,48,49
V,76,49,50
C,14,50,51
R,69,51,52
C,86,52,53
R,11,53,54
C,78,54,55
V,80,55,56
C,35,56,57
I,78,57,58
I,100,58,59
V,2,59,60
R,75,60,61
I,63,61,62
V,90,62,12
R,19,21,63
I,7,64,65
R,13,65,66
C,76,66,67
V,42,67,68
C,30,68,69
I,66,69,70
I,84,70,71
R,90,71,72
V,96,72,73
C,33,73,74
I,66,74,75
I,43,75,76
V,21,76,77
R,87,77,78
C,50,78,79
C,47,79,80
V,31,80,81
V,77,81,82
I,83,82,83
I,67,83,84
V,81,84,85
V,60,85,86
V,79,86,87
I,15,87,88
I,41,88,32
C,2,21,89
C,58,89,50
C,82,17,78
R,1,77,18
V,37,52,45
I,41,19,3
V,77,67,54
I,35,8,3
V,18,12,20
V,35,85,31
I,53,59,18
C,58,46,6
V,99,37,21
R,80,8,33
R,58,59,25
V,11,36,11
I,83,30,86
R,100,64,81
I,34,21,52
I,78,79,73
V,81,80,34
V,58,43,51
V,12,25,40
R,41,35,23
R,35,21,18
V,81,67,86
C,89,67,62
R,41,17,6
I,79,35,48
V,67,15,23
V,39,70,36
C,80,51,2
I,42,84,15
V,79,70,28
V,11,29,87
V,16,61,34
V,55,80,22
C,59,75,57
C,31,5,32
V,49,74,7
I,82,49,14
R,64,17,40
V,50,21,49
I,73,58,74
R,26,54,65
R,88,83,74
I,22,34,6
I,61,73,37
I,54,22,27
R,24,74,32
V,95,77,44
V,39,34,39
R,9,87,13
V,9,21,49
C,6,22,82
C,18,22,34
R,35,38,57
R,31,2,45
C,40,73,13
R,10,24,60
R,3,82,61
V,97,10,53
R,65,70,88
C,76,8,35
R,30,42,15
R,18,17,48
V,10,63,15
I,90,81,17
V,59,18,38
V,77,45,70
C,56,61,8
R,42,74,40
C,36,11,81
I,74,6,41
C,77,7,31
C,17,52,39
V,81,28,69
C,92,20,56
I,100,8,24
V,43,39,46
C,92,82,48
C,38,59,26
I,33,26,22
C,33,32,77
R,12,2,60
V,54,84,45
R,97,36,3
R,4,29,27
C,9,31,60
V,52,70,7
C,78,34,13
R,78,29,55
R,18,66,26
C,66,34,53
I,9,58,65
I,88,57,72
C,51,63,43
V,69,18,21
V,38,43,17
V,76,82,29
R,75,60,42
C,54,51,32
I,86,26,21
C,59,36,45
I,92,17,18
C,75,55,49
C,97,4,60
V,25,53,50
C,66,36,69
I,44,69,24
C,22,58,65
V,68,69,80
R,81,81,0
C,18,66,57
I,60,14,6
I,49,81,3
V,48,72,86
R,64,60,21
V,95,44,2
I,59,72,52
V,56,34,55
V,23,79,62
I,52,41,70
R,34,88,71
C,95,18,79
R,8,54,28
C,92,60,74
I,59,11,38
R,50,14,62
I,14,72,80
R,85,38,39
C,67,5,15
C,53,51,52
C,92,81,67
R,32,17,10
V,62,24,78
I,63,69,73
C,14,60,76
I,14,61,52
R,6,33,48
R,45,54,0
C,80,59,53
R,53,22,35
R,88,88,48
C,46,82,78
V,19,35,28
V,50,76,64
R,41,69,39
I,86,9,75
R,58,28,12
V,31,6,17
C,18,51,13
R,15,74,49
I,98,23,50
I,31,79,6
R,77,39,13
I,69,16,43
C,41,77,0
V,83,68,23
C,23,5,72
V,19,33,19
V,20,88,54
C,98,40,26
R,15,2,40
V,53,40,65
R,5,10,89
R,18,21,54
C,77,61,77
V,64,43,63
R,86,51,88
V,91,22,44
R,24,82,43
I,68,13,69
V,23,84,61
I,98,44,25
V,79,86,18
R,22,11,71
I,35,22,24
