type,value,start_node,end_node
I,11,0,1
I,59,2,3
V,97,3,4
R,40,4,5
I,83,5,6
I,61,6,7
I,89,7,8
R,30,8,9
I,9,9,10
V,63,10,11
I,44,11,12
I,35,12,13
R,34,13,14
V,73,14,15
I,69,15,16
V,40,16,17
I,86,17,18
R,5,18,19
V,84,19,20
R,81,20,21
R,21,21,22
I,20,22,23
R,37,23,24
I,100,24,25
I,26,25,26
I,64,26,27
I,50,27,28
V,89,28,29
R,82,29,30
R,93,30,31
C,39,31,32
R,80,32,33
C,43,33,34
V,63,34,35
C,100,35,36
V,79,36,37
V,29,37,38
R,15,38,39
C,52,39,40
C,54,40,41
C,2,41,42
V,40,42,43
R,62,43,44
V,14,44,45
V,24,45,46
V,22,46,47
R,30,47,48
I,55,48,49
R,13,49,50
R,91,50,51
R,74,51,52
R,26,52,53
R,41,53,54
I,41,54,55
R,76,55,56
R,89,56,57
V,98,57,58
R,57,58,59
V,59,59,60
R,100,60,61
R,76,61,62
C,22,62,63
R,55,63,64
I,1,64,65
R,4,65,66
I,100,66,67
I,86,67,68
V,86,68,69
C,5,69,70
I,65,70,71
I,49,71,72
I,93,72,73
R,21,73,74
C,71,74,75
I,2,75,76
C,36,76,77
R,28,77,78
I,82,78,79
C,42,79,80
C,59,80,81
I,50,81,82
C,12,82,83
R,57,83,84
I,70,84,85
R,94,85,86
I,38,86,87
V,56,87,88
V,14,88,89
V,75,89,90
I,98,90,91
C,19,91,92
V,67,92,93
I,54,93,94
R,46,94,95
R,33,95,96
V,6,96,97
V,47,97,98
R,60,98,99
I,29,99,100
C,23,100,101
R,24,101,102
R,69,102,103
V,15,103,104
C,68,104,105
C,5,105,106
C,78,106,107
C,37,107,108
C,97,108,109
I,97,109,110
I,49,110,111
C,63,111,112
V,84,112,113
V,56,113,114
C,33,114,115
R,15,115,116
R,16,116,117
I,46,117,118
V,87,118,119
V,77,119,120
C,37,120,121
I,92,121,122
C,42,122,123
R,91,123,124
V,65,124,125
V,53,125,126
R,80,126,127
R,73,127,128
C,58,128,129
R,64,129,130
C,97,130,131
R,68,131,132
C,40,132,133
C,35,133,134
I,77,134,135
V,91,135,136
R,88,136,137
R,4,137,138
C,76,138,139
R,53,139,140
I,19,140,141
R,16,141,142
C,83,142,143
I,79,143,144
C,71,144,145
V,40,145,146
I,33,146,147
C,87,147,148
R,67,148,149
R,7,149,150
C,17,150,151
V,47,151,152
R,35,152,153
I,40,153,154
V,48,154,155
V,58,155,156
I,77,156,157
R,84,157,158
I,66,158,159
V,81,159,160
C,5,160,161
C,59,161,162
R,58,162,163
R,56,163,164
I,62,164,165
I,14,165,166
C,7,166,167
I,7,167,168
C,43,168,169
R,87,169,170
I,87,170,171
I,76,171,172
R,50,172,173
I,23,173,174
C,40,174,175
C,38,175,176
C,31,176,177
I,22,177,178
R,30,178,179
V,93,179,180
C,46,180,181
I,52,181,182
V,2,182,183
I,60,183,184
V,5,184,185
C,4,185,186
I,73,186,187
R,65,187,188
C,9,188,189
C,82,189,190
V,40,190,191
R,11,191,192
I,2,192,193
V,2,193,194
R,30,194,195
C,82,195,196
V,5,196,197
V,67,197,198
R,85,198,199
I,61,199,200
I,37,200,201
C,3,201,202
V,40,202,203
I,78,203,204
C,24,204,205
V,96,205,206
R,73,206,207
V,17,207,208
I,78,208,209
R,90,209,210
C,73,210,211
R,41,211,212
C,83,212,213
V,6,213,214
I,43,214,215
V,32,215,216
R,96,216,217
I,99,217,218
R,16,218,219
I,42,219,220
R,68,220,221
V,85,221,222
R,67,222,223
C,26,223,224
R,97,224,225
V,74,225,226
I,94,226,227
R,54,227,228
R,29,228,229
R,7,229,230
R,91,230,231
I,73,231,232
I,23,232,233
V,12,233,234
V,40,234,235
C,20,235,236
C,71,236,237
I,86,237,238
R,81,238,239
I,27,239,240
I,61,240,241
C,96,241,242
C,39,242,243
V,100,243,244
R,99,244,245
I,15,245,246
C,14,246,247
C,41,247,248
C,61,248,249
I,32,249,250
V,91,250,251
I,97,251,252
R,94,252,253
R,63,253,254
I,76,254,255
C,41,255,256
V,38,256,257
I,24,257,258
V,58,258,259
I,72,259,260
I,69,260,261
C,4,261,262
V,62,262,263
C,18,263,264
V,94,264,265
V,41,265,266
V,59,266,267
R,21,267,268
R,47,268,269
C,7,269,270
I,38,270,271
R,68,271,272
R,99,272,273
V,45,273,274
V,51,274,275
V,58,275,276
R,32,276,277
C,81,277,278
V,79,278,279
R,64,279,280
R,53,280,281
C,69,281,282
R,38,282,283
I,58,283,284
R,96,284,285
V,43,285,286
V,29,286,287
R,58,287,288
I,53,288,289
V,8,289,290
R,35,290,291
R,38,291,292
I,75,292,293
C,35,293,294
I,28,294,295
R,23,295,296
R,22,296,297
I,62,297,298
C,9,298,299
I,84,299,300
V,100,300,301
C,55,301,302
R,87,302,303
V,9,303,304
I,47,304,305
C,95,305,306
C,39,306,307
C,44,307,308
I,4,308,309
I,3,309,310
I,98,310,311
C,90,311,312
V,81,312,313
V,53,313,314
I,68,314,315
V,12,315,316
V,2,316,317
I,8,317,318
V,59,318,319
V,12,319,320
C,95,320,321
R,47,321,322
C,89,322,323
C,76,323,324
C,22,324,325
V,51,325,326
V,67,326,327
V,19,327,328
R,2,328,329
I,79,329,330
C,100,330,331
C,55,331,332
R,11,332,333
C,80,333,334
I,73,334,335
V,14,335,336
R,71,336,337
V,93,337,338
C,39,338,339
V,72,339,340
C,19,340,341
R,26,341,342
V,10,342,343
V,21,343,344
I,35,344,345
V,2,345,346
I,80,346,347
R,22,347,348
C,26,348,349
