type,value,start_node,end_node
V,31,0,1
C,65,2,3
V,73,3,4
I,68,4,5
V,13,5,6
I,5,6,7
V,68,7,8
R,19,8,9
I,13,9,10
R,36,10,11
R,86,11,12
C,39,12,13
I,96,13,14
I,61,14,15
I,5,15,16
R,32,16,17
R,47,17,18
R,98,18,19
C,74,19,20
I,100,20,21
V,78,21,22
I,55,22,23
I,92,23,24
I,89,24,25
C,73,25,26
C,47,26,27
R,38,27,28
C,58,28,29
V,45,29,30
C,77,30,31
I,27,31,32
V,96,32,33
V,4,33,34
R,87,34,35
C,91,35,36
C,89,36,37
I,22,37,38
I,60,38,39
I,59,39,40
V,45,40,41
R,91,41,42
I,76,42,43
R,36,43,44
R,25,44,45
V,30,45,46
I,71,46,47
R,76,47,48
V,77,48,49
C,34,49,50
I,82,50,51
C,66,51,52
R,94,52,53
I,90,53,54
V,50,54,55
R,79,55,56
I,35,56,57
R,61,57,58
R,87,58,59
R,55,59,60
V,22,60,61
V,60,61,62
I,80,62,63
I,99,63,64
I,45,64,65
R,82,65,66
V,87,66,67
V,10,67,68
C,17,68,69
R,47,69,70
I,65,70,71
I,9,71,72
C,67,72,73
V,57,73,74
C,2,74,75
I,99,75,76
R,11,76,77
V,70,77,78
C,94,78,79
R,79,79,80
V,61,80,81
C,43,81,82
R,87,82,83
C,85,83,84
V,26,84,85
C,92,85,86
I,42,86,87
V,13,87,88
I,71,88,89
C,56,89,90
C,50,90,91
I,81,91,92
R,17,92,93
I,91,93,94
C,12,94,95
V,45,95,96
V,31,96,97
I,66,97,98
V,60,98,99
V,89,99,100
C,26,100,101
R,45,101,102
R,1,102,103
I,32,103,104
R,7,104,105
R,13,105,106
I,78,106,107
V,32,107,108
C,39,108,109
V,97,109,110
R,68,110,111
C,3,111,112
V,5,112,113
C,57,113,114
C,16,114,115
C,9,115,116
C,60,116,117
V,87,117,118
C,55,118,119
R,66,119,120
I,10,120,121
V,8,121,122
V,88,122,123
I,91,123,124
I,26,124,125
R,3,125,126
I,8,126,127
C,40,127,128
I,97,128,129
I,43,129,130
R,13,130,131
C,9,131,132
I,57,132,133
R,29,133,134
I,24,134,135
R,18,135,136
I,93,136,137
I,95,137,138
V,70,138,139
R,94,139,140
C,54,140,141
C,64,141,142
V,49,142,143
R,53,143,144
V,42,144,145
V,95,145,146
R,13,146,147
R,57,147,148
I,52,148,149
I,74,149,150
C,40,150,151
I,32,151,152
V,85,152,153
R,76,153,154
I,53,154,155
R,31,155,156
V,54,156,157
V,61,157,158
I,77,158,159
R,9,159,160
C,61,160,161
R,17,161,162
C,32,162,163
I,81,163,164
R,17,164,165
C,23,165,166
C,24,166,167
C,79,167,168
R,100,168,169
C,100,169,170
R,22,170,171
I,58,171,172
C,54,172,173
C,14,173,174
C,21,174,175
R,63,175,176
V,51,176,177
V,56,177,178
C,67,178,179
C,86,179,180
V,42,180,181
R,88,181,182
C,63,182,183
C,33,183,184
C,32,184,185
R,24,185,186
I,32,186,187
C,46,187,188
R,26,188,189
C,86,189,190
C,61,190,191
R,20,191,192
V,86,192,193
V,64,193,194
I,59,194,195
C,89,195,196
I,8,196,197
C,66,197,198
C,76,198,199
R,31,199,200
V,51,200,201
R,53,201,202
I,66,202,203
C,58,203,204
C,7,204,205
R,84,205,206
V,22,206,207
R,73,207,208
V,64,208,209
C,61,209,210
I,93,210,211
V,98,211,212
C,27,212,213
C,50,213,214
I,82,214,215
I,47,215,216
C,70,216,217
I,64,217,218
R,90,218,219
C,96,219,220
C,87,220,221
C,2,221,222
V,24,222,223
I,83,223,224
C,76,224,225
I,36,225,226
V,85,226,227
C,59,227,228
I,59,228,229
C,17,229,230
V,13,230,231
V,34,231,232
C,76,232,233
C,5,233,234
V,69,234,235
C,20,235,236
V,35,236,237
C,41,237,238
C,84,238,239
R,81,239,240
C,67,240,241
R,59,241,242
C,91,242,243
R,7,243,244
C,93,244,245
V,80,245,246
C,54,246,247
I,21,247,248
I,66,248,249
V,70,249,250
R,7,250,251
C,65,251,252
R,78,252,253
C,52,253,254
V,6,254,255
V,70,255,256
R,100,256,257
C,32,257,258
R,1,258,259
C,44,259,260
R,20,260,261
R,76,261,262
V,91,262,263
I,64,263,264
V,96,264,265
V,45,265,266
R,29,266,267
V,7,267,268
I,34,268,269
V,34,269,270
V,47,270,271
R,16,271,272
R,2,272,273
I,51,273,274
V,55,274,275
I,55,275,276
C,96,276,277
C,89,277,278
I,7,278,279
R,23,279,280
C,29,280,281
V,97,281,282
I,82,282,283
V,16,283,284
R,72,284,285
R,37,285,286
V,65,286,287
R,65,287,288
I,12,288,289
I,68,289,290
C,98,290,291
V,99,291,292
I,22,292,293
I,55,293,294
V,90,294,295
I,82,295,296
R,77,296,297
C,72,297,298
R,100,298,299
R,33,299,300
C,96,300,301
C,23,301,302
C,61,302,303
V,45,303,304
R,7,304,305
C,41,305,306
V,40,306,307
V,1,307,308
I,79,308,309
R,6,309,310
I,95,310,311
I,79,311,312
R,81,312,313
C,48,313,314
I,65,314,315
R,63,315,316
C,62,316,317
I,93,317,318
I,38,318,319
V,37,319,320
R,32,320,321
R,67,321,322
R,82,322,323
R,79,323,324
R,85,324,325
R,67,325,326
V,82,326,327
R,26,327,328
I,45,328,329
C,49,329,330
I,66,330,331
C,83,331,332
R,96,332,333
C,12,333,334
C,5,334,335
R,70,335,336
I,9,336,337
C,34,337,338
V,94,338,339
R,89,339,340
C,10,340,341
C,6,341,342
C,68,342,343
V,89,343,344
C,32,344,345
I,50,345,346
