type,value,start_node,end_node
V,32,0,1
I,47,2,3
C,92,3,4
R,91,4,5
I,80,5,0
C,58,1,6
R,32,7,8
C,98,8,9
C,2,9,10
V,36,10,11
V,33,11,0
I,50,9,12
C,38,13,14
R,34,14,15
I,74,15,2
C,3,8,16
V,15,17,18
I,74,18,19
R,83,19,20
C,23,20,21
C,78,21,9
I,88,6,16
R,80,0,6
C,67,9,20
V,16,11,17
I,44,2,4
C,71,9,5
R,91,20,5
I,60,1,3
I,1,9,12
R,51,19,20
V,71,5,14
I,36,12,10
V,56,10,6
C,15,20,10
C,89,1,8
I,35,5,19
C,93,15,0
I,41,16,2
R,1,2,12
C,39,11,18
V,7,8,12
C,54,17,12
V,61,1,18
I,48,9,13
I,59,5,19
R,4,14,3
I,36,9,2
R,64,12,1
V,96,12,0
R,36,12,4
I,70,8,10
R,41,5,13
V,17,19,17
R,100,20,14
R,24,18,12
R,66,8,18
V,76,17,6
R,67,18,5
I,30,9,18
V,9,7,18
